,Name,Neuron,Cond,LatentVar1,LatentVar2,LatentVar3,LatentVar4
1273,{ADLL}_{STAM_appetitive_trained_ON}_{LEIFstapTrained22BUT_onStep_lev},ADLL,STAM_appetitive_trained_ON,-0.17199543587723662,-0.7482866791477888,1.7254127852051109,-1.6243035242654642
1274,{AVEL}_{STAM_appetitive_mock_ON}_{LEIFstapMock1BUT_onStep_lev},AVEL,STAM_appetitive_mock_ON,-1.224909961101226,-2.66264263708429,2.978818342537244,0.28989078107686284
1275,{ASKL}_{STAM_appetitive_mock_ON}_{LEIFStapMOCK37BUT_onStep_lev},ASKL,STAM_appetitive_mock_ON,-0.3264833169930837,0.17388170717979037,0.14528897879158584,0.2328499819812488
1276,{AVBR}_{LTAM_appetitive_trained_OFF}_{LEIFLTAPTrained112BUT_offStep_lev},AVBR,LTAM_appetitive_trained_OFF,-0.6326006053574192,-0.4834669355842416,-0.417729270514375,-0.3406653401131568
1277,{AWBL}_{LTAM_appetitive_trained_ON}_{LEIFLTAPTrained3BUT_onStep_lev},AWBL,LTAM_appetitive_trained_ON,0.2710793102563528,0.18805734880024627,-0.02318740305926514,0.05029544786609052
1278,{RMEL}_{naive_ON}_{LEIFnaive21BUT_onStep_lev},RMEL,naive_ON,0.10474850641550072,0.14238263401007364,-0.11647952504051681,0.1771238591044622
1279,{AVAL}_{LTAM_aversive_trained_OFF}_{LEIFltavTrained11BUT_offStep_lev},AVAL,LTAM_aversive_trained_OFF,-0.8489386844104844,0.8011114984996258,1.9575796902199702,-0.14846506475717883
1280,{ASGL}_{LTAM_appetitive_mock_OFF}_{LEIFLTAPMock2BUT_offStep_lev},ASGL,LTAM_appetitive_mock_OFF,0.14004190579434103,0.1191616526080941,-0.16229741087039726,0.17957172867450882
1281,{no_name2}_{LTAM_appetitive_mock_ON}_{LEIFLTAPMock144But_onStep_lev},no_name2,LTAM_appetitive_mock_ON,0.13250516143611435,0.06010553299119223,-0.2844101004207717,0.06789732878739364
1282,{AIBL}_{STAM_aversive_mock_OFF}_{LEIFmockSTAV21BUT_offStep_lev},AIBL,STAM_aversive_mock_OFF,0.09767746335720051,-0.23783948061990334,0.4449853477206297,0.07304722028947012
1283,{AWCR}_{LTAM_aversive_mock_ON}_{LEIFLtavMOCK13BUT_onStep_lev},AWCR,LTAM_aversive_mock_ON,-1.1342561118876966,0.26664201386140446,0.36742395620514073,-0.29618505177014476
